Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf01,Ethernet1,,spine,spine01,Ethernet1,
l3leaf,leaf01,Ethernet2,,spine,spine02,Ethernet1,
l3leaf,leaf02,Ethernet1,,spine,spine01,Ethernet2,
l3leaf,leaf02,Ethernet2,,spine,spine02,Ethernet2,
l3leaf,leaf03,Ethernet1,,spine,spine01,Ethernet3,
l3leaf,leaf03,Ethernet2,,spine,spine02,Ethernet3,
l3leaf,leaf04,Ethernet1,,spine,spine01,Ethernet4,
l3leaf,leaf04,Ethernet2,,spine,spine02,Ethernet4,
l3leaf,leaf05,Ethernet1,,spine,spine01,Ethernet5,
l3leaf,leaf05,Ethernet2,,spine,spine02,Ethernet5,
l3leaf,leaf06,Ethernet1,,spine,spine01,Ethernet6,
l3leaf,leaf06,Ethernet2,,spine,spine02,Ethernet6,
l3leaf,leaf07,Ethernet1,,spine,spine01,Ethernet7,
l3leaf,leaf07,Ethernet2,,spine,spine02,Ethernet7,
l3leaf,leaf08,Ethernet1,,spine,spine01,Ethernet8,
l3leaf,leaf08,Ethernet2,,spine,spine02,Ethernet8,
